,output,rt_cd,msg_cd,msg1
iscd_stat_cls_code,55,0,MCA00000,정상처리 되었습니다.
marg_rate,20.00,0,MCA00000,정상처리 되었습니다.
rprs_mrkt_kor_name,KOSPI200,0,MCA00000,정상처리 되었습니다.
bstp_kor_isnm,전기.전자,0,MCA00000,정상처리 되었습니다.
temp_stop_yn,N,0,MCA00000,정상처리 되었습니다.
oprc_rang_cont_yn,N,0,MCA00000,정상처리 되었습니다.
clpr_rang_cont_yn,N,0,MCA00000,정상처리 되었습니다.
crdt_able_yn,Y,0,MCA00000,정상처리 되었습니다.
grmn_rate_cls_code,40,0,MCA00000,정상처리 되었습니다.
elw_pblc_yn,Y,0,MCA00000,정상처리 되었습니다.
stck_prpr,53500,0,MCA00000,정상처리 되었습니다.
prdy_vrss,-100,0,MCA00000,정상처리 되었습니다.
prdy_vrss_sign,5,0,MCA00000,정상처리 되었습니다.
prdy_ctrt,-0.19,0,MCA00000,정상처리 되었습니다.
acml_tr_pbmn,364774521200,0,MCA00000,정상처리 되었습니다.
acml_vol,6818422,0,MCA00000,정상처리 되었습니다.
prdy_vrss_vol_rate,64.83,0,MCA00000,정상처리 되었습니다.
stck_oprc,53500,0,MCA00000,정상처리 되었습니다.
stck_hgpr,54100,0,MCA00000,정상처리 되었습니다.
stck_lwpr,53200,0,MCA00000,정상처리 되었습니다.
stck_mxpr,69600,0,MCA00000,정상처리 되었습니다.
stck_llam,37600,0,MCA00000,정상처리 되었습니다.
stck_sdpr,53600,0,MCA00000,정상처리 되었습니다.
wghn_avrg_stck_prc,53498.26,0,MCA00000,정상처리 되었습니다.
hts_frgn_ehrt,50.56,0,MCA00000,정상처리 되었습니다.
frgn_ntby_qty,0,0,MCA00000,정상처리 되었습니다.
pgtr_ntby_qty,-165737,0,MCA00000,정상처리 되었습니다.
pvt_scnd_dmrs_prc,55000,0,MCA00000,정상처리 되었습니다.
pvt_frst_dmrs_prc,54300,0,MCA00000,정상처리 되었습니다.
pvt_pont_val,53900,0,MCA00000,정상처리 되었습니다.
pvt_frst_dmsp_prc,53200,0,MCA00000,정상처리 되었습니다.
pvt_scnd_dmsp_prc,52800,0,MCA00000,정상처리 되었습니다.
dmrs_val,54100,0,MCA00000,정상처리 되었습니다.
dmsp_val,53000,0,MCA00000,정상처리 되었습니다.
cpfn,7780,0,MCA00000,정상처리 되었습니다.
rstc_wdth_prc,16000,0,MCA00000,정상처리 되었습니다.
stck_fcam,100,0,MCA00000,정상처리 되었습니다.
stck_sspr,41800,0,MCA00000,정상처리 되었습니다.
aspr_unit,100,0,MCA00000,정상처리 되었습니다.
hts_deal_qty_unit_val,1,0,MCA00000,정상처리 되었습니다.
lstn_stcn,5969782550,0,MCA00000,정상처리 되었습니다.
hts_avls,3193834,0,MCA00000,정상처리 되었습니다.
per,25.11,0,MCA00000,정상처리 되었습니다.
pbr,1.03,0,MCA00000,정상처리 되었습니다.
stac_month,12,0,MCA00000,정상처리 되었습니다.
vol_tnrt,0.11,0,MCA00000,정상처리 되었습니다.
eps,2131.00,0,MCA00000,정상처리 되었습니다.
bps,52002.00,0,MCA00000,정상처리 되었습니다.
d250_hgpr,88800,0,MCA00000,정상처리 되었습니다.
d250_hgpr_date,20240711,0,MCA00000,정상처리 되었습니다.
d250_hgpr_vrss_prpr_rate,-39.75,0,MCA00000,정상처리 되었습니다.
d250_lwpr,49900,0,MCA00000,정상처리 되었습니다.
d250_lwpr_date,20241114,0,MCA00000,정상처리 되었습니다.
d250_lwpr_vrss_prpr_rate,7.21,0,MCA00000,정상처리 되었습니다.
stck_dryy_hgpr,88800,0,MCA00000,정상처리 되었습니다.
dryy_hgpr_vrss_prpr_rate,-39.75,0,MCA00000,정상처리 되었습니다.
dryy_hgpr_date,20240711,0,MCA00000,정상처리 되었습니다.
stck_dryy_lwpr,49900,0,MCA00000,정상처리 되었습니다.
dryy_lwpr_vrss_prpr_rate,7.21,0,MCA00000,정상처리 되었습니다.
dryy_lwpr_date,20241114,0,MCA00000,정상처리 되었습니다.
w52_hgpr,88800,0,MCA00000,정상처리 되었습니다.
w52_hgpr_vrss_prpr_ctrt,-39.75,0,MCA00000,정상처리 되었습니다.
w52_hgpr_date,20240711,0,MCA00000,정상처리 되었습니다.
w52_lwpr,49900,0,MCA00000,정상처리 되었습니다.
w52_lwpr_vrss_prpr_ctrt,7.21,0,MCA00000,정상처리 되었습니다.
w52_lwpr_date,20241114,0,MCA00000,정상처리 되었습니다.
whol_loan_rmnd_rate,0.26,0,MCA00000,정상처리 되었습니다.
ssts_yn,N,0,MCA00000,정상처리 되었습니다.
stck_shrn_iscd,005930,0,MCA00000,정상처리 되었습니다.
fcam_cnnm,100,0,MCA00000,정상처리 되었습니다.
cpfn_cnnm,"7,780 억",0,MCA00000,정상처리 되었습니다.
frgn_hldn_qty,3018540424,0,MCA00000,정상처리 되었습니다.
vi_cls_code,N,0,MCA00000,정상처리 되었습니다.
ovtm_vi_cls_code,N,0,MCA00000,정상처리 되었습니다.
last_ssts_cntg_qty,18123,0,MCA00000,정상처리 되었습니다.
invt_caful_yn,N,0,MCA00000,정상처리 되었습니다.
mrkt_warn_cls_code,00,0,MCA00000,정상처리 되었습니다.
short_over_yn,N,0,MCA00000,정상처리 되었습니다.
sltr_yn,N,0,MCA00000,정상처리 되었습니다.
